招聘岗位,工作职责,工作要求
CSIG16-大数据AI高级工程师(北京),1. 利用海量腾讯系的定位数据（500亿）及形成的用户轨迹数据，进行海量数据模型设计、数据ETL开发，实现智能化处理和自动化入库；\r\n2. 应用机器学习技术，建立道路数据画像，构建实时的基础数据的挖掘模型，提升位置服务能力\r\n3. 研发智能交通出行领域中的关键机器学习算法，以及模型算法的产品化,机器学习／计算机／数学相关方向硕士以上学历或 3 年以上工作经验，有较强的学习能力及创新能力;\r\n熟悉C/C++语言、Python、Java任意一种语言，较强的算法和数据结构功底;\r\n对机器学习基础理论及常用算法有深刻的理解，具备出色的工程实践能力；\r\n在机器学习或者机器学习应用（包括但不限于搜索/推荐／自然语言处理／计算广告／图像处理等方向）方向有2年以上相关项目经验；\r\n良好的沟通能力及团队协作能力，较强的进取心和事业心。
S2-区块链应用开发工程师（深圳）,负责基于区块链技术的产品设计与研发工作；\n负责腾讯内部财务IT应用系统的设计与研发工作。,计算机软件相关专业本科以上学历；\n3年以上linux服务器端C/C++开发经验，编程基本功扎实，熟悉软件工程和测试方法；\n熟悉区块链平台技术和特点（如：比特币、以太坊、Fabric等），理解智能合约的概念；\n有服务器端大容量、高性能编程框架应用实战经验，熟悉mysql数据库和KV数据库编程；\n精通TCP/IP、HTTPS协议相关知识及网络编程；\n思路清晰、周密，能主动思考总结，乐于与人沟通；\n有良好的团队合作及抗压能力，有主人翁意识推进事务进展。
S2-高级web前端开发工程师,负责腾讯内部财务系统的web前端开发工作，包括PC、移动端、小程序的前端页面开发及性能优化；负责前端架构建设，公共组件的设计与开发\n\n,本科及以上学历，计算机相关专业； \n5年以上Web前端开发经验； 能够熟练运用HTML、CSS、JavaScript构建高性能的web应用程序； \n能够熟练运用至少一款主流的JS框架（如vue、react等），具有良好的代码风格、接口设计与程序架构； \n有Node.js和小程序开发经验者优先；有交互设计思维更优； 思路清晰，具备良好的沟通能力和团队协作精神。
33370-车联网高级服务管理工程师（深圳） ,负责业务各项管理流程的建设，负责组织相关流程的推行； \n负责对服务工单平台的质量进行度量，分析，形成可执行的流程跟进落地； \n负责客户方案实以及运营过程中发现、收集流程与质量问题并通过事件、变更、问题管理，推动、跟踪问题的解决； \n负责团队内流程服务的文档管理工作，重点包括服务目录建设、服务级别协议制定、服务汇报与客户满意度运营；\n对已颁布流程进行监控以保证其执行，反馈执行情况，并对此过程中发现的问题给出解决建议；  \n整理输出流程缺陷并跟进落实流程的执行，帮助服务团队提升服务质量和研发运营效能。,"本科、硕士（含）以上，5年以上工作经验；\n必须具备ITIL/PMP/Agile/ITSM等流程/项目管理体系知识与相关认证一个或多个;\n对质量保障体、IT服务管理、软件工程等有深入了解；\n对存储/数据分析/系统架构有一定的技术积累,有linux/windows系统运维管理经验;\n具备组织能力，和较强的推动力，能够根据情况需要制定和调整客户运营流程以及过程质量实施策略落地与改进； \n具备较强的数据分析以及流程识别能力，能独立给出运营流程交付物和质量问题的解决方案。"
32032-游戏系统策划（上海）,主导设计并跟进模拟经营类游戏的玩法、操作，商业化模块以及相关系统的设计和制作；\n撰写对应的设计文档，参与相关界面的交互设计；\n在开发过程中实时跟进并调优，确保按时且保质保量的制作出对应的系统。,至少5年以上的模拟经营类游戏策划工作经历以及1款完整的上线项目经验；\n负责过主要系统模块的设计和商业化模块的设计；\n具备良好的沟通协作能力，熟悉如何推动设计落地；\n热爱游戏，有良好的游戏文化背景；\n日语优秀者优先考虑。
27092-商业化Android高级开发工程师（深圳）,1.负责应用宝商业化开发，包括游戏/广告的整体商业化系统开发。\n2.负责短视频产品商业化，具体为实现广告全链路及商业化展示，包括动态化方案的开发。\n3.负责信息流及视频广告在Android下的应用开发\n4.负责游戏裂变及云游戏等创新方向的应用开发,三年以上Android成熟互联网行业项目开发经验，主导过核心功能模块的设计实现\n熟悉Android框架及各种特性，熟练运用相关开发工具\n熟悉常用的设计模式，精通移动客户端程序设计方法以及安全的应用层协议设计，有良好的架构能力\n具备分析解决问题能力，能独立承担任务和有系统进度把控能力\n工作积极主动，有强烈的责任感和严谨的工作作风，对技术有热情，对移动产品有浓厚兴趣\n\n有SDK类项目架构经验优先\n有RN/Weex/Flutter等大前端实践经验优先\n有Tensorflow OpenCV等开发经验优先\n同时具备iOS开发能力优先
WXG01-113 微信后台开发工程师（广州）,负责微信基础产品的平台和运营能力建设；\n参与微信基础产品的数据平台设计和搭建；\n参与微信产品核心数据的维护和监控；\n参与微信基础数据服务框架的开发和维护。\n,"2年以上Unix、Linux操作系统的C、C++项目的开发经验；\n熟悉网络编程，精通TCP/IP协议及编程，熟悉互联网应用协议；\n具有高并发、高性能服务系统设计经验及能力，能独立承担任务和有系统进度把控能力；\n熟悉python、bash 等脚本语言；\n熟练掌握SQL或其他数据库语言；\n良好的代码编写习惯, 有进取心, 求知欲强烈, 具备良好的分析解决问题能力；\n有游戏、海量服务、高性能、分布式系统设计、开发经验者优先。"
27020-云计算开发工程师（深圳）,"在腾讯云上部署以及扩展 JupyterHub, JupyterLab。\n基于 JupyterLab 开发可视化插件。\n开发和部署云 HPC 计算任务和数据库服务的中间件。\n研发化学模拟计算任务的管理工具。","精通 Linux 操作系统；\n精通前端，中间件相关的编程语言，开发工具，测试工具；\n熟悉虚拟化技术和容器编排的知识；\n熟悉各平台和工具 (Linux, Python, Node 等) 的包管理工具；\n有学习热情和团队协作精神。"
PCG10-浏览器搜索后台工程师,大规模分布式内容平台的设计和开发；\n参与项目的架构设计、评审、技术攻坚及优化\n建立搜索内容体系，完成产品需求并负责提升服务质量；\n,1.两年以上工作经验，计算机基础扎实，熟练掌握C++编程，代码简洁清晰；\n2.熟悉linux开发，网络编程，有高并发服务开发经验者优先；\n3.熟悉mysql/nosql的开发，有了解常用大数据基础组件的使用/原理者优先，如kafka/hadoop/hive/spark/ETL等；\n4.有较好的自主发现、分析、解决问题的能力，有数据驱动意识，推动业务发展；\n5.对技术有热情，有较好的学习能力和责任心；\n6.较好的沟通能力，团队协作意识，积极主动；
S2-Java应用开发工程师（深圳）,负责公司财务应用系统的设计与开发工作\r\n参与应用系统的需求分析、方案设计、开发与实施\r\n负责跟进应用系统上线后的运营监控与优化,掌握良好的计算机理论基础知识 五年以上工作经验，有三年以上大型公司（或系统）开发经验\r\n熟悉linux开发环境，熟悉多线程、网络编程;熟悉Oracle/MySQL/SQL语言，熟悉常用的数据结构与算法\r\n熟练掌握Java后台开发技巧，理解和掌握常用开发组件的原理与技巧，如：MyBatis、各类RPC框架、Zookeeper\r\n有大型分布式、服务化系统架构经验者优先\r\n良好的表达沟通能力，团队合作能力，主动性强，执行能力强，具备良好的问题定位分析能力
19838-影视艺人合作经理,统筹影业项目选角工作，为影视项目提供专业的演员选择标准、搭配建议及阵容评估；\n梳理科学的选角统筹体系，构建完善的选角工作流程机制，推动影业选角工作专业化、规范化、标准化；\n通过驻组、探班等形式，跟进影业项目的拍摄情况及艺人在组表现，掌控影业项目进展与艺人专业性及合作态度；\n长期维护艺人经纪公司资源拓展及艺人关系的，梳理互娱市场侧及影业的艺人合作资源及需求，在此基础上探寻与艺人合作机会，沉淀具有互娱属性的核心艺人。\n为战略合作艺人及新人制定专业的培养计划，因人制宜，根据艺人各自的优势及潜力点，为其匹配不同的影视项目及娱乐营销合作机会，稳步推动艺人成长，并反哺影业及互娱业务达成共赢。,大学本科及以上学历，3-5年选角及艺人合作经验，有艺人BD合作相关经验、影视行业媒拓经验、项目制作经验优先考虑；\n熟悉表演，对表演有认知，了解演技专业评判体系，具有丰富的影视圈资源及艺人资源，擅长拓展合作关系，熟悉艺人价格及市场行情；\n拥有良好的沟通、协调、统筹、社交能力，具备良好的行业敏感度和综合管理能力，抗压能力强。
19839-腾讯影业战略分析经理,研究与分析：对全球和中国影视、动漫、泛娱乐行业进行持续的监测与分析，关注行业前沿动态，探索新的商业模式和市场机会；研究影视、动漫行业全价值链环节，从对标视角开展行业研究。基于当前业务重点，主动提报研究选题，并自主或结伴推进专题研究，产出有洞察、可落地的结论，为管理层的策略制定及投资方向提供决策支持；\n立项与落地：作为嵌入核心业务的策略职能，研究是基础与起点。基于前瞻的预判、扎实的研究，推动相关业务和部门的业务发展与管理提升。\n,具备2-4年市场分析和战略规划工作经验（管理咨询、证券分析、市场研究、决策支持等角色），有个人认知与研究框架，中英文流利；\n对影视、动漫、泛娱乐行业有基本的了解，愿意将其作为长期的职业领域，对影视、动漫以及更广泛的泛娱乐、互联网有独特理解者加分；\n兼具单兵作战和团队协作的能力，在过往的职业经历中专业性和协作力得到普遍认可；\n具备在复杂业务环境下，自我驱动、结果导向、抗压求胜的特性。\n
33370-腾讯自动驾驶系统软件工程师（北京）,• 参与自动驾驶系统中间件项目的设计开发，构建高性能可扩展中间件。\n• 参与自主车系统软件定制化修改和实时性优化。\n• 负责自主驾驶汽车各功能模块接口设计与实现。 \n• 与各功能模块团队合作，自主驾驶系统完成集成并优化。,• 具有丰富的C/C++编程经验和良好的代码编写规范，精通GPU/NEON加速者优先\n• 具有丰富的Linux/Unix/RTOS系统编程和ROS开发经验，精通多线程/进程编程。\n• 熟悉分布式系统的设计和应用，有大型中间件系统开发经验。\n• 熟悉实时系统相关的数据分发、任务调度、性能评测方法。有DDS、SOME/IP等协议经验者尤佳。\n• 具有复杂系统软件架构设计和测试经验。 \n• 具备较好的沟通表达能力和团队合作精神。 \n• 具有自主驾驶车辆软件架构设计经验优先。
32257-媒介传播经理（深圳）,结合集团发展业绩财报分析拟定选题策划\n海外媒体/财经媒体关系维护及资源拓展\n重点媒体战略合/KOL及专家分析师拓展\n日常新闻传播媒介沟通及媒体活动执行\n,5年以上媒体或公关行业工作经历，有一定的媒体资源优先\n良好的英文听说读写能力和优秀的中/英文稿撰写能力\n擅长沟通及内容策划，有新闻或财经专业背景优先\n了解知识版权及音乐娱乐行业，学习及抗压能力强\n
21229-沙盒/生存类产品运营策划（上海）,负责沙盒类生存类产品的评测、分析；\r\n负责沙盒类生存类产品的分析和研究，并对本地化和商业化输出修改建议；\r\n分析产品数据和用户研究，针对数据及用研反馈调整产品内容计划；\r\n负责游戏运营工作，对游戏产品和用户体验负责。,对产品和用户理解力强，有自己的判断和见解；\r\n热爱游戏，有大量产品经验；\r\n3年以上游戏策划或评测相关经验；\r\n英文流利者优先。
